type,name,url

lists,Jazz Albums,list/jazz-albums
lists,Novels, list/novels
lists,Songs,list/songs
lists,Software Forums,list/software-forums
lists,Jazz Websites,list/jazz-websites

jazz-albums,Kind of Blue,https://www.youtube.com/watch?v=vDqULFUg6CY
jazz-albums,Sketches of Spain,https://www.youtube.com/watch?v=38zRx9AYDHQ
jazz-albums,Back to Back,https://www.youtube.com/watch?v=aysOUiF8R_4&list=PLKjjIa7cwTkKDtcMSoJ5F_ftFZpVnMt3k
jazz-albums,Gemini,https://www.youtube.com/watch?v=NvzOKIhny-s&list=PLAym87g-oy7r_BTkaAnCo7ioToIf7q6Ri
jazz-albums,Charlie Parker with Strings,https://www.youtube.com/watch?v=iixDzXO3V6A&list=PLq93_zeR7pCiYNY0TGHE1e6_1rsrNK7wV&index=1
jazz-albums,Birth of the Cool,https://www.youtube.com/watch?v=4WjU4eXYWg4&list=PLED9CF5CAEE7AD60A

novels,The Dispossessed,https://en.wikipedia.org/wiki/The_Dispossessed
novels,Slaughterhouse-Five,https://en.wikipedia.org/wiki/Slaughterhouse-Five
novels,The Unconsoled,https://en.wikipedia.org/wiki/The_Unconsoled
novels,War and Peace,https://www.gutenberg.org/files/2600/2600-h/2600-h.htm
novels,Siddhartha,https://www.gutenberg.org/cache/epub/2500/pg2500-images.html

songs,Pull Closer to Me,https://www.youtube.com/watch?v=JRiY9nge_VE
songs,Time Won't Take Our Times Away,https://www.youtube.com/watch?v=n4o3zlP_x7M
songs,Party Before Country,https://www.youtube.com/watch?v=tliIJLqWYVA
songs,A Lovely View,https://www.youtube.com/watch?v=Vg-JGK29JXw
songs,Dieses Jahr,https://www.youtube.com/watch?v=y3pFAlKHmXo
songs,Steady,https://www.youtube.com/watch?v=xE8odDBpEc8
songs,Jump the Border,https://www.youtube.com/watch?v=KJjEVXX5mWo
songs,The International,https://www.youtube.com/watch?v=yIvGOZckTPc&list=PLTst8er1hs33ISTz_aEG-zfKWGUFv0at-&index=2
songs,Du bist ganz schön bedient,https://www.youtube.com/watch?v=rMxLjVbI7E8
songs,A Amigo J.V.,https://www.youtube.com/watch?v=0hZLwddkKo4s

software-forums,Hacker News,https://news.ycombinator.com
software-forums,DEV Community,https://dev.to
software-forums,hackertab.dev,https://now.hackertab.dev

jazz-websites,The Claudettes,https://theclaudettes.com/
jazz-websites,Lee's Boogie,https://leebluespiano.blog
jazz-websites,Zanzibar Blu,https://thezanzibarblu.my.canva.site
jazz-websites,Jazz Tastings,https://jazztastings.com/entertainment-schedule
jazz-websites,North Street Cabaret,https://www.northstreetcabaret.com
jazz-websites,Dr. Center,https://www.drphillipscenter.org/events/?venue=judson%27s%20live&cmpid=web-homepage-judson%27smicrosite_music_jud&utm_medium=web&utm_source=homepage&utm_campaign=judson%27smicrosite_music_jud
jazz-websites,The Alley,https://www.bandsintown.com/v/10016380-the-alley?came_from=250&utm_medium=web&utm_source=artist_event_page&utm_campaign=venue
jazz-websites,Florida Jazz,https://www.jazzonartsaxisflorida.org/festivals
jazz-websites,NSB Jazz Festival,https://nsbjazzfest.com
jazz-websites,Stetson,https://www.tickettailor.com/events/stetsonuniversityschoolofmusic/
